epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.03606441244482994,0.0005000000237487257,8.2384614944458,0.039619941264390945,5.6671462059021
1,0.042239513248205185,0.0005000000237487257,4.773473262786865,0.04923788458108902,4.187828540802002
2,0.05941244959831238,0.0005000000237487257,3.8910250663757324,0.061667997390031815,3.6828413009643555
3,0.06344873458147049,0.0005000000237487257,3.572260856628418,0.05609358474612236,3.4823551177978516
4,0.0732107162475586,0.0005000000237487257,3.4236900806427,0.08692758530378342,3.2831923961639404
5,0.07876580953598022,0.0005000000237487257,3.3511104583740234,0.09236887842416763,3.236769199371338
6,0.08972619473934174,0.0005000000237487257,3.2701797485351562,0.10687899589538574,3.1164028644561768
7,0.09262233972549438,0.0005000000237487257,3.210186719894409,0.08817558735609055,3.185983657836914
8,0.09939663857221603,0.0005000000237487257,3.1624982357025146,0.10471578687429428,3.076678991317749
9,0.10589214414358139,0.0005000000237487257,3.1193301677703857,0.12453407794237137,3.0139729976654053
10,0.11329477280378342,0.0004524187243077904,3.0634524822235107,0.12420127540826797,2.930663824081421
11,0.12067243456840515,0.0004093653988093138,3.0172882080078125,0.1573648899793625,2.8991527557373047
12,0.12951481342315674,0.0003704091359395534,2.958735704421997,0.1654352992773056,2.845827341079712
13,0.14333388209342957,0.0003351600607857108,2.9058291912078857,0.1845879852771759,2.738781213760376
14,0.1563415378332138,0.00030326537671498954,2.8346917629241943,0.21478967368602753,2.5818004608154297
15,0.17694739997386932,0.0002744058729149401,2.75011944770813,0.22981563210487366,2.5306503772735596
16,0.19000083208084106,0.00024829269386827946,2.6670401096343994,0.24968384206295013,2.438103437423706
17,0.20073652267456055,0.00022466451628133655,2.623365640640259,0.2574880123138428,2.5112669467926025
18,0.21485935151576996,0.0002032848569797352,2.5681021213531494,0.24133053421974182,2.4114460945129395
19,0.22098036110401154,0.0001839397446019575,2.51834774017334,0.2617478668689728,2.3650827407836914
20,0.2350657433271408,0.00016643556591589004,2.4636640548706055,0.30843982100486755,2.2150869369506836
21,0.24812333285808563,0.0001505971304140985,2.4197471141815186,0.30609357357025146,2.186295747756958
22,0.2520347833633423,0.0001362659240840003,2.386779308319092,0.29108425974845886,2.2074625492095947
