epoch,accuracy,categorical_crossentropy,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_categorical_crossentropy,val_f1_score,val_loss,val_precision,val_recall
0,0.7748613953590393,1.7167885303497314,0.25081634521484375,0.0010000000474974513,1.7168480157852173,0.14496617019176483,0.9295408725738525,0.9459070563316345,1.3175922632217407,0.36115026473999023,1.3175609111785889,0.22073771059513092,0.9924606680870056
1,0.9568620324134827,1.2806010246276855,0.39695245027542114,0.0010000000474974513,1.2806050777435303,0.24793758988380432,0.9949127435684204,0.9572770595550537,1.2611050605773926,0.4768393337726593,1.2610998153686523,0.3135017454624176,0.9955105781555176
2,0.9733437299728394,1.2234095335006714,0.5267426371574402,0.0010000000474974513,1.2234092950820923,0.35792842507362366,0.996944010257721,0.9646700024604797,1.2323925495147705,0.6235541701316833,1.2324635982513428,0.45389431715011597,0.9957545399665833
3,0.9790897965431213,1.200583815574646,0.6257192492485046,0.0010000000474974513,1.2005890607833862,0.45580926537513733,0.9975844621658325,0.9686226844787598,1.2155674695968628,0.7079158425331116,1.2155382633209229,0.5491697192192078,0.9957545399665833
4,0.9831400513648987,1.1864891052246094,0.695345401763916,0.0010000000474974513,1.1864914894104004,0.5335690379142761,0.9979077577590942,0.9803586602210999,1.1912908554077148,0.7694365382194519,1.1913270950317383,0.626672625541687,0.9964377284049988
5,0.9855251312255859,1.1792420148849487,0.7406211495399475,0.0010000000474974513,1.179245948791504,0.5886726379394531,0.9983042478561401,0.9762108325958252,1.1979527473449707,0.7950266003608704,1.1979488134384155,0.6614766716957092,0.9961449503898621
6,0.9875502586364746,1.1728798151016235,0.7726461291313171,0.0010000000474974513,1.1728721857070923,0.6300622224807739,0.9986397624015808,0.9825057983398438,1.1831711530685425,0.8290611505508423,1.1831347942352295,0.709877610206604,0.9963400959968567
7,0.9890996217727661,1.168545126914978,0.7955908179283142,0.0010000000474974513,1.168548822402954,0.661109447479248,0.9987556338310242,0.9838477373123169,1.1802915334701538,0.8627694845199585,1.180295705795288,0.760522723197937,0.9967793226242065
8,0.9901670813560486,1.164910912513733,0.8145246505737305,0.0010000000474974513,1.1649118661880493,0.6876004934310913,0.9989142417907715,0.9818714261054993,1.18386971950531,0.8363367319107056,1.1839017868041992,0.7205490469932556,0.9964621067047119
9,0.9909539818763733,1.162826418876648,0.8280250430107117,0.0010000000474974513,1.1628302335739136,0.7069756388664246,0.9990911483764648,0.9797486662864685,1.1880286931991577,0.8635848760604858,1.1880730390548706,0.76240473985672,0.9957301616668701
10,0.9917957186698914,1.1609082221984863,0.8390033841133118,0.0010000000474974513,1.1609115600585938,0.7231366038322449,0.999085009098053,0.9816274046897888,1.1856471300125122,0.8789790272712708,1.1856269836425781,0.7867180705070496,0.9957545399665833
11,0.9975539445877075,1.1459593772888184,0.9004166722297668,0.00020000000949949026,1.1459605693817139,0.819079577922821,0.9996889233589172,0.992143452167511,1.15803062915802,0.9419882297515869,1.158048152923584,0.8922422528266907,0.9976089000701904
12,0.9985848665237427,1.1433663368225098,0.9185006022453308,0.00020000000949949026,1.1433649063110352,0.8494560718536377,0.9997621178627014,0.9923874735832214,1.1579680442810059,0.9485356211662292,1.157985806465149,0.9040238857269287,0.9976576566696167
13,0.9987678527832031,1.1424927711486816,0.9262447953224182,0.00020000000949949026,1.142493486404419,0.8627446889877319,0.9998353123664856,0.9928754568099976,1.1568968296051025,0.9539092183113098,1.1569135189056396,0.9136933088302612,0.997828483581543
14,0.9989691376686096,1.1417354345321655,0.9315388798713684,0.00020000000949949026,1.1417357921600342,0.8719624876976013,0.9998536109924316,0.9928266406059265,1.157503604888916,0.9567434787750244,1.1575206518173218,0.9191358089447021,0.9975600838661194
15,0.9991094470024109,1.1414272785186768,0.9342455267906189,0.00020000000949949026,1.141427755355835,0.8766987919807434,0.9998779892921448,0.9932902455329895,1.1560925245285034,0.9597558379173279,1.156109094619751,0.9246494770050049,0.9976332783699036
16,0.9992741346359253,1.1407772302627563,0.9389355182647705,0.00020000000949949026,1.1407774686813354,0.8849664926528931,0.9999145865440369,0.9923386573791504,1.1580159664154053,0.9581940770149231,1.1580337285995483,0.921963095664978,0.9973893165588379
17,0.9992924332618713,1.1405917406082153,0.9421740770339966,0.00020000000949949026,1.140592098236084,0.8907284736633301,0.9999268054962158,0.9932658076286316,1.156038761138916,0.9651215672492981,1.1560555696487427,0.9347478151321411,0.9975357055664062
18,0.9993168115615845,1.140342354774475,0.9447410106658936,0.00020000000949949026,1.1403427124023438,0.8953085541725159,0.999951183795929,0.9936074018478394,1.1558892726898193,0.9687333106994629,1.155906081199646,0.9415910243988037,0.9974868893623352
19,0.9993534088134766,1.1401840448379517,0.9467920064926147,0.00020000000949949026,1.1401841640472412,0.8990095853805542,0.9999390244483948,0.9932658076286316,1.1563221216201782,0.9675021171569824,1.1563390493392944,0.939397394657135,0.9973405003547668
20,0.9995120167732239,1.139752745628357,0.9500360488891602,0.00020000000949949026,1.139752984046936,0.904857337474823,0.9999634027481079,0.993461012840271,1.1555428504943848,0.9707323908805847,1.1555594205856323,0.945441484451294,0.997413694858551
21,0.9994510412216187,1.139916181564331,0.9486280083656311,0.00020000000949949026,1.1399166584014893,0.9023162126541138,0.999951183795929,0.9931194186210632,1.1560355424880981,0.9700946807861328,1.1560524702072144,0.9443635940551758,0.9972673058509827
22,0.999518096446991,1.139634370803833,0.9515740871429443,0.00020000000949949026,1.1396316289901733,0.9076619148254395,0.999951183795929,0.9933146238327026,1.1553436517715454,0.9711094498634338,1.155360221862793,0.9462669491767883,0.9972916841506958
